ear,mar,driver_state,label
0.2027,1.0436,alert,0
0.3149,1.0496,alert,0
0.3463,1.0051,alert,0
0.2809,1.1933,alert,0
0.0803,0.8158,alert,0
0.2502,1.022,alert,0
0.2721,0.7947,alert,0
0.3146,1.1775,alert,0
0.2761,0.9282,alert,0
0.3851,1.2552,alert,0
0.3167,0.9892,alert,0
0.1949,0.9573,alert,0
0.2976,1.4969,alert,0
0.2695,0.956,alert,0
0.3464,1.1124,alert,0
0.2064,1.3331,alert,0
0.2561,1.1573,alert,0
0.3141,1.1447,alert,0
0.455,2.8921,alert,0
0.3027,1.171,alert,0
0.3535,0.8988,alert,0
0.3209,1.3279,alert,0
0.2892,0.7068,alert,0
0.2285,1.0186,alert,0
0.2985,0.904,alert,0
0.309,1.0844,alert,0
0.3157,0.958,alert,0
0.3273,1.5939,alert,0
0.3734,1.028,alert,0
0.448,2.081,alert,0
0.1894,1.4462,alert,0
0.342,1.0308,alert,0
0.2964,1.1995,alert,0
0.3007,0.7759,alert,0
0.2934,1.1621,alert,0
0.2467,1.0177,alert,0
0.2347,1.1877,alert,0
0.319,1.0155,alert,0
0.3038,1.0833,alert,0
0.3088,1.1049,alert,0
0.2468,1.2737,alert,0
0.2567,1.1786,alert,0
0.3011,1.1565,alert,0
0.2579,1.1375,alert,0
0.3212,1.0681,alert,0
0.2442,1.2268,alert,0
0.2281,1.0331,alert,0
0.2452,1.1136,alert,0
0.2967,1.1453,alert,0
0.3009,1.047,alert,0
0.2788,1.0518,alert,0
0.3433,1.8807,alert,0
0.236,1.1203,alert,0
0.2828,0.7698,alert,0
0.2654,0.9353,alert,0
0.3163,1.1841,alert,0
0.3406,1.1535,alert,0
0.2028,1.2408,alert,0
0.3429,0.807,alert,0
0.3348,1.013,alert,0
0.2972,1.2292,alert,0
0.2848,1.2174,alert,0
0.31,1.0394,alert,0
0.3346,1.4503,alert,0
0.3959,0.6718,alert,0
0.2291,1.1762,alert,0
0.2254,1.191,alert,0
0.3202,1.1998,alert,0
0.3653,0.9023,alert,0
0.2574,1.0471,alert,0
0.2449,1.2858,alert,0
0.3127,1.021,alert,0
0.3186,1.1073,alert,0
0.3488,0.8698,alert,0
0.223,1.0271,alert,0
0.3413,1.4949,alert,0
0.2526,0.9128,alert,0
0.3287,0.9774,alert,0
0.2559,1.1058,alert,0
0.1641,0.4972,alert,0
0.292,1.2261,alert,0
0.2582,1.151,alert,0
0.3311,1.5276,alert,0
0.3478,1.1232,alert,0
0.2798,0.9944,alert,0
0.2093,1.201,alert,0
0.4157,1.9264,alert,0
0.3536,0.7654,alert,0
0.2931,1.1941,alert,0
0.3063,1.2156,alert,0
0.3435,0.9405,alert,0
0.2976,1.1689,alert,0
0.3893,0.7513,alert,0
0.3696,1.1788,alert,0
0.2387,1.0185,alert,0
0.2514,1.0442,alert,0
0.3592,0.9142,alert,0
0.2277,1.0911,alert,0
0.3111,1.73,alert,0
0.3836,1.81,alert,0
0.2524,0.963,alert,0
0.231,1.0455,alert,0
0.2592,1.0329,alert,0
0.2938,0.8809,alert,0
0.2783,1.129,alert,0
0.2143,0.9941,alert,0
0.3507,1.0037,alert,0
0.255,1.3419,alert,0
0.4065,0.968,alert,0
0.3441,1.0314,alert,0
0.2191,1.2795,alert,0
0.2803,1.0763,alert,0
0.285,1.0594,alert,0
0.2695,1.1786,alert,0
0.2935,1.0677,alert,0
0.249,1.1728,alert,0
0.3002,1.0151,alert,0
0.254,1.1425,alert,0
0.2968,1.0126,alert,0
0.283,1.1081,alert,0
0.4698,0.5565,alert,0
0.3912,0.4797,alert,0
0.2449,0.9429,alert,0
0.4108,0.9297,alert,0
0.2719,1.1188,alert,0
0.2818,1.1124,alert,0
